Country Name,Country Code,Total Cellular Subscriptions,Total Broadband Subscriptions
Montenegro,MNE,1007890,112394
Mongolia,MNG,3068156,208047
Northern Mariana Islands,MNP,,
Mozambique,MOZ,20134932,42570
Mauritania,MRT,3644483,9638
Mauritius,MUS,1762300,197400
Malawi,MWI,6566707,5855
Malaysia,MYS,44104000,3063800
North America,NAC,412110000,115272000
Namibia,NAM,2549817,70408
New Caledonia,NCL,260277,55371
Niger,NER,8959000,27188
Nigeria,NGA,150830089,14492
Nicaragua,NIC,7264151,116308
Netherlands,NLD,20809054,7029097
Norway,NOR,5714890,2047146
Nepal,NPL,27516055,302705
Nauru,NRU,9400,
New Zealand,NZL,5600000,1450900
OECD members,OED,1477076413,373961242
Oman,OMN,6646655,233234
Other small states,OSS,34343836,2023049
Pakistan,PAK,125899638,1793199
Panama,PAN,5741929,316168
Peru,PER,34235810,1999459
Philippines,PHL,117838074,2900000
Palau,PLW,23743,1224
Papua New Guinea,PNG,3560000,15000
Poland,POL,54537230,7265546
Pre-demographic dividend,PRE,605173047,1148954
Puerto Rico,PRI,3204993,662278
"Korea, Dem. People’s Rep.",PRK,3240000,
Portugal,PRT,11714693,3142188
Paraguay,PRY,7411986,220858
West Bank and Gaza,PSE,3531000,274500
Pacific island small states,PSS,1878238,29611
Post-demographic dividend,PST,1311426364,349327286
French Polynesia,PYF,268334,51908
Qatar,QAT,3740469,237774
Romania,ROU,23120000,4262132
Russian Federation,RUS,227288088,26881463
Rwanda,RWA,8759619,21125
South Asia,SAS,1330871634,24615627
Saudi Arabia,SAU,52796066,3564976
Sudan,SDN,27938507,27683
Senegal,SEN,14959477,100611
Singapore,SGP,8233100,1486200
Solomon Islands,SLB,424712,1420
Sierra Leone,SLE,5657000,
El Salvador,SLV,9334132,353001
San Marino,SMR,36624,11641
Somalia,SOM,5836000,82000
Serbia,SRB,9155664,1320230
Sub-Saharan Africa (excluding high income),SSA,751851456,3628129
South Sudan,SSD,2899000,150
Sub-Saharan Africa,SSF,751999700,3641549
Small states,SST,44380772,2949794
Sao Tome and Principe,STP,184971,1314
Suriname,SUR,750458,52691
Slovak Republic,SVK,6675553,1273812
Slovenia,SVN,2353926,564046
Sweden,SWE,12638827,3496240
Eswatini,SWZ,941000,6000
Sint Maarten (Dutch part),SXM,,
Seychelles,SYC,148244,13420
Syrian Arab Republic,SYR,14312271,729261
Turks and Caicos Islands,TCA,,
Chad,TCD,5465797,11337
East Asia & Pacific (IDA & IBRD countries),TEA,2091595151,301261846
Europe & Central Asia (IDA & IBRD countries),TEC,578883366,68762040
Togo,TGO,4855206,63108
Thailand,THA,102942000,6229000
Tajikistan,TJK,8489000,6000
Turkmenistan,TKM,7842000,3000
Latin America & the Caribbean (IDA & IBRD countries),TLA,686547364,66137737
Timor-Leste,TLS,1376669,1028
Middle East & North Africa (IDA & IBRD countries),TMN,360548454,17238819
Tonga,TON,73493,2458
South Asia (IDA & IBRD),TSA,1330871634,24615627
Sub-Saharan Africa (IDA & IBRD countries),TSS,751999700,3641549
Trinidad and Tobago,TTO,2123374,278522
Tunisia,TUN,14595875,573977
Turkey,TUR,73639261,9504594
Tuvalu,TUV,6600,1000
Tanzania,TZA,39665600,106000
Uganda,UGA,20220273,80724
Ukraine,UKR,60720073,4978813
Upper middle income,UMC,2680851291,405181141
Uruguay,URY,5165474,900933
United States,USA,382307000,102212000
Uzbekistan,UZB,21783300,1787786
St. Vincent and the Grenadines,VCT,113371,16960
"Venezuela, RB",VEN,29093517,2580080
British Virgin Islands,VGB,57195,6660
Virgin Islands (U.S.),VIR,,9000
Vietnam,VNM,120324052,7657619
Vanuatu,VUT,174818,4297
World,WLD,7181920320,838531937
Samoa,WSM,120517,2084
Kosovo,XKX,,
"Yemen, Rep.",YEM,15021953,395000
South Africa,ZAF,87999492,1409347
Zambia,ZMB,11557725,23390
Zimbabwe,ZWE,12757410,163987
