Country Name,Country Code,% of Internet Users
Fragile and conflict affected situations,FCS,16.26
Finland,FIN,86.42
Fiji,FJI,42.5
France,FRA,78.01
Faroe Islands,FRO,94.2
"Micronesia, Fed. Sts.",FSM,31.5
Gabon,GAB,45.78
United Kingdom,GBR,92
Georgia,GEO,47.57
Ghana,GHA,31.45
Gibraltar,GIB,
Guinea,GIN,8.2
"Gambia, The",GMB,16.5
Guinea-Bissau,GNB,3.54
Equatorial Guinea,GNQ,21.32
Greece,GRC,66.84
Grenada,GRD,53.81
Greenland,GRL,67.6
Guatemala,GTM,28.81
Guam,GUM,73.14
Guyana,GUY,34
High income,HIC,79.36
"Hong Kong SAR, China",HKG,84.95
Honduras,HND,27.62
Heavily indebted poor countries (HIPC),HPC,13.88
Croatia,HRV,69.8
Haiti,HTI,12.2
Hungary,HUN,72.83
IBRD only,IBD,42.66
IDA & IBRD total,IBT,36.27
IDA total,IDA,16.85
IDA blend,IDB,20.71
Indonesia,IDN,21.98
IDA only,IDX,14.94
Isle of Man,IMN,
India,IND,26
Not classified,INX,
Ireland,IRL,83.49
"Iran, Islamic Rep.",IRN,45.33
Iraq,IRQ,17.22
Iceland,ISL,98.2
Israel,ISR,77.35
Italy,ITA,58.14
Jamaica,JAM,42.22
Jordan,JOR,60.11
Japan,JPN,91.06
Kazakhstan,KAZ,70.83
Kenya,KEN,16.6
Kyrgyz Republic,KGZ,30.25
Cambodia,KHM,22.33
Kiribati,KIR,13
St. Kitts and Nevis,KNA,75.7
"Korea, Rep.",KOR,89.9
Kuwait,KWT,77.52
Latin America & Caribbean (excluding high income),LAC,52.64
Lao PDR,LAO,18.2
Lebanon,LBN,74
Liberia,LBR,5.9
Libya,LBY,19.02
St. Lucia,LCA,42.53
Latin America & Caribbean,LCN,54.57
Least developed countries: UN classification,LDC,13.22
Low income,LIC,11.75
Liechtenstein,LIE,96.64
Sri Lanka,LKA,29.99
Lower middle income,LMC,26.8
Low & middle income,LMY,35.69
Lesotho,LSO,25
Late-demographic dividend,LTE,53.49
Lithuania,LTU,71.38
Luxembourg,LUX,96.38
Latvia,LVA,79.2
"Macao SAR, China",MAC,77.6
St. Martin (French part),MAF,
Morocco,MAR,57.08
Monaco,MCO,93.36
Moldova,MDA,69
Madagascar,MDG,4.17
Maldives,MDV,54.46
Middle East & North Africa,MEA,44.41
Mexico,MEX,57.43
Marshall Islands,MHL,19.28
Middle income,MIC,38.64
"Macedonia, FYR",MKD,70.38
Mali,MLI,10.33
Malta,MLT,75.96
Myanmar,MMR,21.73
Middle East & North Africa (excluding high income),MNA,39.14
Montenegro,MNE,68.12
Mongolia,MNG,22.5
Northern Mariana Islands,MNP,
Mozambique,MOZ,16.93
Mauritania,MRT,15.2
Mauritius,MUS,50.14
Malawi,MWI,9.3
Malaysia,MYS,71.06
North America,NAC,75.96
Namibia,NAM,25.69
New Caledonia,NCL,74
Niger,NER,2.48
Nigeria,NGA,24.5
Nicaragua,NIC,19.7
Netherlands,NLD,91.72
Norway,NOR,96.81
Nepal,NPL,17.58
Nauru,NRU,
New Zealand,NZL,88.22
OECD members,OED,76.4
Oman,OMN,73.53
Other small states,OSS,43.19
Pakistan,PAK,14
Panama,PAN,51.21
Peru,PER,40.9
Philippines,PHL,53.7
Palau,PLW,
Papua New Guinea,PNG,7.9
Poland,POL,68
Pre-demographic dividend,PRE,15.2
Puerto Rico,PRI,63.47
"Korea, Dem. People’s Rep.",PRK,
Portugal,PRT,68.63
Paraguay,PRY,49.72
West Bank and Gaza,PSE,57.42
Pacific island small states,PSS,27.95
Post-demographic dividend,PST,78.71
French Polynesia,PYF,64.56
Qatar,QAT,92.88
Romania,ROU,55.76
Russian Federation,RUS,70.1
Rwanda,RWA,18
South Asia,SAS,23.2
Saudi Arabia,SAU,69.62
Sudan,SDN,26.61
Senegal,SEN,21.69
Singapore,SGP,79.01
Solomon Islands,SLB,10
Sierra Leone,SLE,6.34
El Salvador,SLV,26.8
San Marino,SMR,
Somalia,SOM,1.76
Serbia,SRB,65.32
Sub-Saharan Africa (excluding high income),SSA,18.06
South Sudan,SSD,5.5
Sub-Saharan Africa,SSF,18.07
Small states,SST,43.71
Sao Tome and Principe,STP,25.82
Suriname,SUR,42.76
Slovak Republic,SVK,77.63
Slovenia,SVN,73.1
Sweden,SWE,90.61
Eswatini,SWZ,25.64
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,54.26
Syrian Arab Republic,SYR,29.98
Turks and Caicos Islands,TCA,
Chad,TCD,3.5
East Asia & Pacific (IDA & IBRD countries),TEA,45.21
Europe & Central Asia (IDA & IBRD countries),TEC,59.74
Togo,TGO,7.12
Thailand,THA,39.32
Tajikistan,TJK,18.98
Turkmenistan,TKM,15
Latin America & the Caribbean (IDA & IBRD countries),TLA,54.81
Timor-Leste,TLS,23
Middle East & North Africa (IDA & IBRD countries),TMN,38.9
Tonga,TON,38.65
South Asia (IDA & IBRD),TSA,23.2
Sub-Saharan Africa (IDA & IBRD countries),TSS,18.07
Trinidad and Tobago,TTO,69.2
Tunisia,TUN,46.5
Turkey,TUR,53.74
Tuvalu,TUV,42.7
Tanzania,TZA,10
Uganda,UGA,17.83
Ukraine,UKR,48.88
Upper middle income,UMC,51.97
Uruguay,URY,64.6
United States,USA,74.55
Uzbekistan,UZB,42.8
St. Vincent and the Grenadines,VCT,51.77
"Venezuela, RB",VEN,61.87
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,54.84
Vietnam,VNM,43.5
Vanuatu,VUT,22.35
World,WLD,43.01
Samoa,WSM,25.41
Kosovo,XKX,
"Yemen, Rep.",YEM,24.09
South Africa,ZAF,51.92
Zambia,ZMB,21
Zimbabwe,ZWE,22.74
